Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USDJPY,Japanese Yen per US Dollar,Exchange Rates - Market,United States Dollar,United States,,,,,,,Currency Units,Units,Stock,none,Monthly From Jul 1862 To Jun 1914<BR>Daily From Jul 1914 To Apr 1947<BR>Monthly From May 1947 To May 1949<BR>Daily From Jun 1949 To Feb 2021<BR>,"Sources: Schneider (1872-1914), Junnosuke Inoye, Problems of the Japanese Exchange, 1914-1926, London: Macmillan & Co., 1931 (1880-1915), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 ; League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Schweizerisches Nationalbank, Monatsbericht, Zurich; The Economist; Commercial and Financial Chronicle; Uffici di Cambi, Italy; Financial Times; Bundesbank, Exchange Rate Statistics; Bank of Japan web site <br />Notes: The cross exchange rate between the Mexican dollar and pounds sterling between Yokohama and London is used through 1898. Japan adopted the Mexican silver dollar in February 1868 and began minting gold in June 1871 set at parity with the U.S. Dollar.  A silver standard was adopted in 1884, and Japan returned to the gold standard on October 1, 1897 at a rate of 1 Yen = 750 milligrams of fine gold, and switched back to paper in September 1917, and back to gold in January 1930.  In December 1931, the yen was devalued and permanently detached from gold. Data are an average of the high and low for the yen/dollar exchange rate from January 1900 until December 1915. The yen abandoned its link to the Pound Sterling in September 1939, pegging the yen to the Dollar at 1 U.S. Dollar = 4.267 Yen, stabilized at 14 pence on June 1, 1941, and set the currency at 1.705 Reichsmark on December 29, 1941. The official pre-World War II exchange rate is used through August 1945. The ï¿½Hawaiianï¿½ Dollar was set at 20 Military Yen = 1 Hawaiian Dollar in September 1942. The allies` rate of 50 yen to the dollar starts in September 1945, and black market rates are given starting in August 1946.",
Date,Ticker,Open,High,Low,Close
11/24/1969,USDJPY,360,360,360,360
11/25/1969,USDJPY,360,360,360,360
11/26/1969,USDJPY,360,360,360,360
11/27/1969,USDJPY,360,360,360,360
11/28/1969,USDJPY,360,360,360,360
11/29/1969,USDJPY,360,360,360,360
12/01/1969,USDJPY,360,360,360,360
12/02/1969,USDJPY,360,360,360,360
12/03/1969,USDJPY,360,360,360,360
12/04/1969,USDJPY,360,360,360,360
12/05/1969,USDJPY,360,360,360,360
12/06/1969,USDJPY,360,360,360,360
12/08/1969,USDJPY,360,360,360,360
12/09/1969,USDJPY,360,360,360,360
12/10/1969,USDJPY,360,360,360,360
12/11/1969,USDJPY,360,360,360,360
12/12/1969,USDJPY,360,360,360,360
12/13/1969,USDJPY,360,360,360,360
12/15/1969,USDJPY,360,360,360,360
12/16/1969,USDJPY,360,360,360,360
12/17/1969,USDJPY,360,360,360,360
12/18/1969,USDJPY,360,360,360,360
12/19/1969,USDJPY,360,360,360,360
12/20/1969,USDJPY,360,360,360,360
12/22/1969,USDJPY,360,360,360,360
12/23/1969,USDJPY,360,360,360,360
12/24/1969,USDJPY,360,360,360,360
12/26/1969,USDJPY,360,360,360,360
12/27/1969,USDJPY,360,360,360,360
12/29/1969,USDJPY,360,360,360,360
12/30/1969,USDJPY,360,360,360,360
12/31/1969,USDJPY,360,360,360,360
01/02/1970,USDJPY,360,360,360,360
01/03/1970,USDJPY,360,360,360,360
01/05/1970,USDJPY,360,360,360,360
01/06/1970,USDJPY,360,360,360,360
01/07/1970,USDJPY,360,360,360,360
01/08/1970,USDJPY,360,360,360,360
01/09/1970,USDJPY,360,360,360,360
01/10/1970,USDJPY,360,360,360,360
01/12/1970,USDJPY,360,360,360,360
01/13/1970,USDJPY,360,360,360,360
01/14/1970,USDJPY,360,360,360,360
01/15/1970,USDJPY,360,360,360,360
01/16/1970,USDJPY,360,360,360,360
01/17/1970,USDJPY,360,360,360,360
01/19/1970,USDJPY,360,360,360,360
01/20/1970,USDJPY,360,360,360,360
01/21/1970,USDJPY,360,360,360,360
01/22/1970,USDJPY,360,360,360,360
01/23/1970,USDJPY,360,360,360,360
01/24/1970,USDJPY,360,360,360,360
01/26/1970,USDJPY,360,360,360,360
01/27/1970,USDJPY,360,360,360,360
01/28/1970,USDJPY,360,360,360,360
01/29/1970,USDJPY,360,360,360,360
01/30/1970,USDJPY,360,360,360,360
01/31/1970,USDJPY,360,360,360,360
02/02/1970,USDJPY,360,360,360,360
02/03/1970,USDJPY,360,360,360,360
02/04/1970,USDJPY,360,360,360,360
02/05/1970,USDJPY,360,360,360,360
02/06/1970,USDJPY,360,360,360,360
02/07/1970,USDJPY,360,360,360,360
02/09/1970,USDJPY,360,360,360,360
02/10/1970,USDJPY,360,360,360,360
02/11/1970,USDJPY,360,360,360,360
02/12/1970,USDJPY,360,360,360,360
02/13/1970,USDJPY,360,360,360,360
02/14/1970,USDJPY,360,360,360,360
02/16/1970,USDJPY,360,360,360,360
02/17/1970,USDJPY,360,360,360,360
02/18/1970,USDJPY,360,360,360,360
02/19/1970,USDJPY,360,360,360,360
02/20/1970,USDJPY,360,360,360,360
02/21/1970,USDJPY,360,360,360,360
02/23/1970,USDJPY,360,360,360,360
02/24/1970,USDJPY,360,360,360,360
02/25/1970,USDJPY,360,360,360,360
02/26/1970,USDJPY,360,360,360,360
02/27/1970,USDJPY,360,360,360,360
02/28/1970,USDJPY,360,360,360,360
03/02/1970,USDJPY,360,360,360,360
03/03/1970,USDJPY,360,360,360,360
03/04/1970,USDJPY,360,360,360,360
03/05/1970,USDJPY,360,360,360,360
03/06/1970,USDJPY,360,360,360,360
03/07/1970,USDJPY,360,360,360,360
03/09/1970,USDJPY,360,360,360,360
03/10/1970,USDJPY,360,360,360,360
03/11/1970,USDJPY,360,360,360,360
03/12/1970,USDJPY,360,360,360,360
03/13/1970,USDJPY,360,360,360,360
03/14/1970,USDJPY,360,360,360,360
03/16/1970,USDJPY,360,360,360,360
03/17/1970,USDJPY,360,360,360,360
03/18/1970,USDJPY,360,360,360,360
03/19/1970,USDJPY,360,360,360,360
03/20/1970,USDJPY,360,360,360,360
03/21/1970,USDJPY,360,360,360,360
03/23/1970,USDJPY,360,360,360,360
03/24/1970,USDJPY,360,360,360,360
03/25/1970,USDJPY,360,360,360,360
03/26/1970,USDJPY,360,360,360,360
03/27/1970,USDJPY,360,360,360,360
03/28/1970,USDJPY,360,360,360,360
03/30/1970,USDJPY,360,360,360,360
03/31/1970,USDJPY,360,360,360,360
04/01/1970,USDJPY,360,360,360,360
04/02/1970,USDJPY,360,360,360,360
04/03/1970,USDJPY,360,360,360,360
04/04/1970,USDJPY,360,360,360,360
04/06/1970,USDJPY,360,360,360,360
04/07/1970,USDJPY,360,360,360,360
04/08/1970,USDJPY,360,360,360,360
04/09/1970,USDJPY,360,360,360,360
04/10/1970,USDJPY,360,360,360,360
04/11/1970,USDJPY,360,360,360,360
04/13/1970,USDJPY,360,360,360,360
04/14/1970,USDJPY,360,360,360,360
04/15/1970,USDJPY,360,360,360,360
04/16/1970,USDJPY,360,360,360,360
04/17/1970,USDJPY,360,360,360,360
04/18/1970,USDJPY,360,360,360,360
04/20/1970,USDJPY,360,360,360,360
04/21/1970,USDJPY,360,360,360,360
04/22/1970,USDJPY,360,360,360,360
04/23/1970,USDJPY,360,360,360,360
04/24/1970,USDJPY,360,360,360,360
04/25/1970,USDJPY,360,360,360,360
04/27/1970,USDJPY,360,360,360,360
04/28/1970,USDJPY,360,360,360,360
04/29/1970,USDJPY,360,360,360,360
04/30/1970,USDJPY,360,360,360,360
05/01/1970,USDJPY,360,360,360,360
05/02/1970,USDJPY,360,360,360,360
05/04/1970,USDJPY,360,360,360,360
05/05/1970,USDJPY,360,360,360,360
05/06/1970,USDJPY,360,360,360,360
05/07/1970,USDJPY,360,360,360,360
05/08/1970,USDJPY,360,360,360,360
05/09/1970,USDJPY,360,360,360,360
05/11/1970,USDJPY,360,360,360,360
05/12/1970,USDJPY,360,360,360,360
05/13/1970,USDJPY,360,360,360,360
05/14/1970,USDJPY,360,360,360,360
05/15/1970,USDJPY,360,360,360,360
05/16/1970,USDJPY,360,360,360,360
05/18/1970,USDJPY,360,360,360,360
05/19/1970,USDJPY,360,360,360,360
05/20/1970,USDJPY,360,360,360,360
05/21/1970,USDJPY,360,360,360,360
05/22/1970,USDJPY,360,360,360,360
05/23/1970,USDJPY,360,360,360,360
05/25/1970,USDJPY,360,360,360,360
05/26/1970,USDJPY,360,360,360,360
05/27/1970,USDJPY,360,360,360,360
05/28/1970,USDJPY,360,360,360,360
05/29/1970,USDJPY,360,360,360,360
05/30/1970,USDJPY,360,360,360,360
06/01/1970,USDJPY,360,360,360,360
06/02/1970,USDJPY,360,360,360,360
06/03/1970,USDJPY,360,360,360,360
06/04/1970,USDJPY,360,360,360,360
06/05/1970,USDJPY,360,360,360,360
06/06/1970,USDJPY,360,360,360,360
06/08/1970,USDJPY,360,360,360,360
06/09/1970,USDJPY,360,360,360,360
06/10/1970,USDJPY,360,360,360,360
06/11/1970,USDJPY,360,360,360,360
06/12/1970,USDJPY,360,360,360,360
06/13/1970,USDJPY,360,360,360,360
06/15/1970,USDJPY,360,360,360,360
06/16/1970,USDJPY,360,360,360,360
06/17/1970,USDJPY,360,360,360,360
06/18/1970,USDJPY,360,360,360,360
06/19/1970,USDJPY,360,360,360,360
06/20/1970,USDJPY,360,360,360,360
06/22/1970,USDJPY,360,360,360,360
06/23/1970,USDJPY,360,360,360,360
06/24/1970,USDJPY,360,360,360,360
06/25/1970,USDJPY,360,360,360,360
06/26/1970,USDJPY,360,360,360,360
06/27/1970,USDJPY,360,360,360,360
06/29/1970,USDJPY,360,360,360,360
06/30/1970,USDJPY,360,360,360,360
07/01/1970,USDJPY,360,360,360,360
07/02/1970,USDJPY,360,360,360,360
07/03/1970,USDJPY,360,360,360,360
07/04/1970,USDJPY,360,360,360,360
07/06/1970,USDJPY,360,360,360,360
07/07/1970,USDJPY,360,360,360,360
07/08/1970,USDJPY,360,360,360,360
07/09/1970,USDJPY,360,360,360,360
07/10/1970,USDJPY,360,360,360,360
07/11/1970,USDJPY,360,360,360,360
07/13/1970,USDJPY,360,360,360,360
07/14/1970,USDJPY,360,360,360,360
07/15/1970,USDJPY,360,360,360,360
07/16/1970,USDJPY,360,360,360,360
07/17/1970,USDJPY,360,360,360,360
07/18/1970,USDJPY,360,360,360,360
07/20/1970,USDJPY,360,360,360,360
07/21/1970,USDJPY,360,360,360,360
07/22/1970,USDJPY,360,360,360,360
07/23/1970,USDJPY,360,360,360,360
07/24/1970,USDJPY,360,360,360,360
07/25/1970,USDJPY,360,360,360,360
07/27/1970,USDJPY,360,360,360,360
07/28/1970,USDJPY,360,360,360,360
07/29/1970,USDJPY,360,360,360,360
07/30/1970,USDJPY,360,360,360,360
07/31/1970,USDJPY,360,360,360,360
08/01/1970,USDJPY,360,360,360,360
08/03/1970,USDJPY,360,360,360,360
08/04/1970,USDJPY,360,360,360,360
08/05/1970,USDJPY,360,360,360,360
08/06/1970,USDJPY,360,360,360,360
08/07/1970,USDJPY,360,360,360,360
08/08/1970,USDJPY,360,360,360,360
08/10/1970,USDJPY,360,360,360,360
08/11/1970,USDJPY,360,360,360,360
08/12/1970,USDJPY,360,360,360,360
08/13/1970,USDJPY,360,360,360,360
08/14/1970,USDJPY,360,360,360,360
08/15/1970,USDJPY,360,360,360,360
08/17/1970,USDJPY,360,360,360,360
08/18/1970,USDJPY,360,360,360,360
08/19/1970,USDJPY,360,360,360,360
08/20/1970,USDJPY,360,360,360,360
08/21/1970,USDJPY,360,360,360,360
08/22/1970,USDJPY,360,360,360,360
08/24/1970,USDJPY,360,360,360,360
08/25/1970,USDJPY,360,360,360,360
08/26/1970,USDJPY,360,360,360,360
08/27/1970,USDJPY,360,360,360,360
08/28/1970,USDJPY,360,360,360,360
08/29/1970,USDJPY,360,360,360,360
08/31/1970,USDJPY,360,360,360,360
09/01/1970,USDJPY,360,360,360,360
09/02/1970,USDJPY,360,360,360,360
09/03/1970,USDJPY,360,360,360,360
09/04/1970,USDJPY,360,360,360,360
09/05/1970,USDJPY,360,360,360,360
09/07/1970,USDJPY,360,360,360,360
09/08/1970,USDJPY,360,360,360,360
09/09/1970,USDJPY,360,360,360,360
09/10/1970,USDJPY,360,360,360,360
09/11/1970,USDJPY,360,360,360,360
09/12/1970,USDJPY,360,360,360,360
09/14/1970,USDJPY,360,360,360,360
09/15/1970,USDJPY,360,360,360,360
09/16/1970,USDJPY,360,360,360,360
09/17/1970,USDJPY,360,360,360,360
09/18/1970,USDJPY,360,360,360,360
09/19/1970,USDJPY,360,360,360,360
09/21/1970,USDJPY,360,360,360,360
09/22/1970,USDJPY,360,360,360,360
09/23/1970,USDJPY,360,360,360,360
09/24/1970,USDJPY,360,360,360,360
09/25/1970,USDJPY,360,360,360,360
09/26/1970,USDJPY,360,360,360,360
09/28/1970,USDJPY,360,360,360,360
09/29/1970,USDJPY,360,360,360,360
09/30/1970,USDJPY,360,360,360,360
10/01/1970,USDJPY,360,360,360,360
10/02/1970,USDJPY,360,360,360,360
10/03/1970,USDJPY,360,360,360,360
10/05/1970,USDJPY,360,360,360,360
10/06/1970,USDJPY,360,360,360,360
10/07/1970,USDJPY,360,360,360,360
10/08/1970,USDJPY,360,360,360,360
10/09/1970,USDJPY,360,360,360,360
10/10/1970,USDJPY,360,360,360,360
10/12/1970,USDJPY,360,360,360,360
10/13/1970,USDJPY,360,360,360,360
10/14/1970,USDJPY,360,360,360,360
10/15/1970,USDJPY,360,360,360,360
10/16/1970,USDJPY,360,360,360,360
10/17/1970,USDJPY,360,360,360,360
10/19/1970,USDJPY,360,360,360,360
10/20/1970,USDJPY,360,360,360,360
10/21/1970,USDJPY,360,360,360,360
10/22/1970,USDJPY,360,360,360,360
10/23/1970,USDJPY,360,360,360,360
